gene,tda_importance,tda_importance_norm,tda_rank,Gene,Mean_Normal,Mean_Tumor,Log2FC,T_Stat,P_Value,PB_Corr,Abs_PB_Corr,abs_pb,euclidean_rank,category
KDM4A,452.74985264756697,0.13915407806172825,75,KDM4A,40.54537,45.78318,0.113707066,2.726237618715123,0.0071049353922137,0.0583704222285554,0.0583704222285554,0.0583704222285554,14328,B_tda_only
TMCC1,452.712911378334,0.13914272404751382,76,TMCC1,20.12558,21.283043,0.0060896873,0.1748940962794774,0.8613502283352176,0.0032631388295529,0.0032631388295529,0.0032631388295529,20469,B_tda_only
ELAVL2,450.2202676606138,0.13837660223334347,77,ELAVL2,0.5508351,2.5165048,0.6682843,15.34031673946232,2.10446950600294e-42,0.1929133447811162,0.1929133447811162,0.1929133447811162,6509,B_tda_only
SERBP1,448.201052260985,0.13775599008802686,78,SERBP1,95.77399,86.88527,-0.20159674,-6.151826075629551,4.671069728777076e-09,-0.1165763616602177,0.1165763616602177,0.1165763616602177,10315,B_tda_only
RIBC2,447.84101543384554,0.1376453316472656,79,RIBC2,2.2571487,7.2737656,1.2097701,16.754386487667333,3.976119245830582e-36,0.3748904973543714,0.3748904973543714,0.3748904973543714,1895,B_tda_only
FLCN,446.0070035356679,0.13708164237524764,80,FLCN,25.11681,19.673155,-0.40662718,-10.252723412529212,1.815247958520546e-19,-0.208326573260999,0.208326573260999,0.208326573260999,5899,B_tda_only
TMEM11,444.9393066630131,0.13675348241430046,81,TMEM11,37.34046,37.710888,-0.10018921,-3.195012063917515,0.0016068621765977,-0.0539360299424436,0.0539360299424436,0.0539360299424436,14685,B_tda_only
HDX,443.01958414231046,0.1361634497153596,82,HDX,2.5698664,1.9474698,-0.33040285,-8.217260179949214,6.538482917891233e-14,-0.1769490463512072,0.1769490463512072,0.1769490463512072,7214,B_tda_only
ZBP1,440.2949458687244,0.13532602365150687,83,ZBP1,1.507579,4.610774,0.6651901,10.023072028684958,9.246705105741376e-20,0.1640699224008802,0.1640699224008802,0.1640699224008802,7833,B_tda_only
VCAM1,438.8572233198056,0.13488413514589292,84,VCAM1,34.7193,37.31798,-0.36847258,-4.577238811169866,8.65089406994452e-06,-0.0869565298334097,0.0869565298334097,0.0869565298334097,12179,B_tda_only
ARF5,438.3324443674811,0.13472284269958978,85,ARF5,255.53207,398.5707,0.5687628,15.297071467771996,7.331833796667651e-35,0.275035668287632,0.275035668287632,0.275035668287632,3863,B_tda_only
DDX11L1,437.9645248637888,0.1346097614936262,86,DDX11L1,0.05407963,0.065638795,0.011942722,1.4971448263304326,0.1361341219720642,0.0295115098463476,0.0295115098463476,0.0295115098463476,17160,B_tda_only
CCT4,432.17751387474664,0.13283110563277026,87,CCT4,225.49042,236.45496,0.008935928,0.2724855460993081,0.7855576469443908,0.0052463799601106,0.0052463799601106,0.0052463799601106,20230,B_tda_only
