gene,tda_importance,tda_importance_norm,tda_rank,Gene,Mean_Normal,Mean_Tumor,Log2FC,T_Stat,P_Value,PB_Corr,Abs_PB_Corr,abs_pb,euclidean_rank,category
PARP4,585.2951374385373,0.17989228437733398,50,PARP4,49.841732,39.330463,-0.4698844,-9.153431475452578,1.0945796303046083e-16,-0.172858646136911,0.172858646136911,0.172858646136911,7416,B_tda_only
ATP5G2,576.6767206081086,0.17724338710795476,51,ATP5G2,448.59177,507.1537,0.12882328,3.0363362707351857,0.0027812380500044,0.0638389318179617,0.0638389318179617,0.0638389318179617,13854,B_tda_only
CAP1,576.4646042905601,0.17717819249676342,52,CAP1,256.68622,298.08975,0.16443539,4.55002839022416,1.0530248411363297e-05,0.0991830019648487,0.0991830019648487,0.0991830019648487,11364,B_tda_only
HIRA,571.494216291742,0.17565052825669789,53,HIRA,31.28538,26.662497,-0.31727934,-10.195725546660114,1.5626455778109915e-20,-0.1596608290995998,0.1596608290995998,0.1596608290995998,8047,B_tda_only
FLJ46066,554.822263219874,0.17052635152723553,54,FLJ46066,0.008370948,0.010655673,0.00149843,0.434456073153964,0.6643460097055487,0.0068989024219611,0.0068989024219611,0.0068989024219611,20037,B_tda_only
ARPC2,531.419045974835,0.16333329977831132,55,ARPC2,372.59555,425.38495,0.14374924,5.211819881021052,4.66662960819069e-07,0.0930458339502783,0.0930458339502783,0.0930458339502783,11782,B_tda_only
RPS12,527.9256735218568,0.16225960086890753,56,RPS12,2946.9648,2316.9307,-0.47646904,-9.991547914768582,5.948096034088018e-19,-0.1920536270588064,0.1920536270588064,0.1920536270588064,6534,B_tda_only
TMEM106C,526.2965941529103,0.16175889824835563,57,TMEM106C,100.93192,162.96597,0.5674162,10.987712692605209,1.5160922775797484e-21,0.2210069496879153,0.2210069496879153,0.2210069496879153,5426,B_tda_only
MYLK2,522.0943974639683,0.16046734000120375,58,MYLK2,4.02861,0.45740175,0.27191502,3.4453026093603563,0.0007930435728731,0.1757543870979977,0.1757543870979977,0.1757543870979977,7272,B_tda_only
SNW1,521.5658995647226,0.16030490452497545,59,SNW1,72.805336,72.73097,-0.03846836,-1.6511604466410814,0.1002731207699435,-0.0294273815363486,0.0294273815363486,0.0294273815363486,17176,B_tda_only
DDX55,519.08730600251,0.15954310106988318,60,DDX55,22.756218,25.87509,0.14384317,3.3995898980277484,0.0008695320624521,0.0842325970592854,0.0842325970592854,0.0842325970592854,12374,B_tda_only
ATP6V0E1,518.7045963227054,0.1594254740572026,61,ATP6V0E1,429.61533,508.82602,0.1985588,5.745842456748108,4.2190821467047233e-08,0.1190604010557096,0.1190604010557096,0.1190604010557096,10173,B_tda_only
USHBP1,512.0651059143114,0.1573848059903287,62,USHBP1,9.963158,2.6053813,-1.6695509,-25.280726062322607,3.267621407899015e-54,-0.5587727418261129,0.5587727418261129,0.5587727418261129,386,B_tda_only
PGPEP1,498.9009031241104,0.15333874724072152,63,PGPEP1,16.671827,14.133231,-0.3886299,-10.044116819410048,1.7889780221427422e-20,-0.1466507403398078,0.1466507403398078,0.1466507403398078,8693,B_tda_only
DYRK3,488.29755544567485,0.15007977528980354,64,DYRK3,21.486523,12.921698,-0.80178165,-11.286477564311792,8.307943462010891e-22,-0.2589743213270783,0.2589743213270783,0.2589743213270783,4308,B_tda_only
PSTK,487.42258890957334,0.14981085159837862,65,PSTK,6.0739994,5.488224,-0.17297745,-3.8639712264742734,0.0001669122397727,-0.0953818914370143,0.0953818914370143,0.0953818914370143,11624,B_tda_only
CCNI2,485.58261656900294,0.14924533036581744,66,CCNI2,0.7262808,2.2692568,0.45720112,10.06528369208862,8.113716587540208e-21,0.1407657084646749,0.1407657084646749,0.1407657084646749,9000,B_tda_only
ARHGDIA,480.1070720894003,0.14756240470722376,67,ARHGDIA,248.603,378.0971,0.53260136,12.157584882997307,5.535188681666068e-25,0.2381649703287655,0.2381649703287655,0.2381649703287655,4896,B_tda_only
GARS,479.24363468866363,0.1472970245314801,68,GARS,74.9451,128.18033,0.65054846,24.13733823833712,2.4562568834707498e-74,0.3185545218849392,0.3185545218849392,0.3185545218849392,2845,B_tda_only
GNG13,465.49190452573146,0.14307038741302236,69,GNG13,0.22097799,3.5081184,1.0053653,22.0608746641838,1.0434720452975576e-83,0.2370968953411065,0.2370968953411065,0.2370968953411065,4918,B_tda_only
ARL6IP1,459.65522722638167,0.14127646645692415,70,ARL6IP1,240.90402,447.01523,0.7807665,17.28090501264044,3.310314868457343e-40,0.3161247427173054,0.3161247427173054,0.3161247427173054,2896,B_tda_only
COPS2,457.8654418629964,0.14072637034819252,71,COPS2,74.43868,55.93528,-0.46225405,-11.719096454608628,2.3996249686774176e-23,-0.2469540349270543,0.2469540349270543,0.2469540349270543,4646,B_tda_only
PTK2,456.2243237381224,0.14022196757849134,72,PTK2,68.685715,93.037506,0.29687214,8.136751935819381,2.1401806631000036e-14,0.1279310014272774,0.1279310014272774,0.1279310014272774,9686,B_tda_only
GUSBP4,453.7954474260632,0.13947544487516167,73,GUSBP4,6.137888,4.527407,-0.3936243,-7.609990419199565,3.633563859281376e-12,-0.2003328627556291,0.2003328627556291,0.2003328627556291,6205,B_tda_only
RPL29,453.4714203171427,0.13937585413350784,74,RPL29,1638.8593,1384.4077,-0.32936478,-6.551649691522674,6.839026531226611e-10,-0.1367585421285941,0.1367585421285941,0.1367585421285941,9207,B_tda_only
KDM4A,452.74985264756697,0.13915407806172825,75,KDM4A,40.54537,45.78318,0.113707066,2.726237618715123,0.0071049353922137,0.0583704222285554,0.0583704222285554,0.0583704222285554,14328,B_tda_only
TMCC1,452.712911378334,0.13914272404751382,76,TMCC1,20.12558,21.283043,0.0060896873,0.1748940962794774,0.8613502283352176,0.0032631388295529,0.0032631388295529,0.0032631388295529,20469,B_tda_only
ELAVL2,450.2202676606138,0.13837660223334347,77,ELAVL2,0.5508351,2.5165048,0.6682843,15.34031673946232,2.10446950600294e-42,0.1929133447811162,0.1929133447811162,0.1929133447811162,6509,B_tda_only
SERBP1,448.201052260985,0.13775599008802686,78,SERBP1,95.77399,86.88527,-0.20159674,-6.151826075629551,4.671069728777076e-09,-0.1165763616602177,0.1165763616602177,0.1165763616602177,10315,B_tda_only
RIBC2,447.84101543384554,0.1376453316472656,79,RIBC2,2.2571487,7.2737656,1.2097701,16.754386487667333,3.976119245830582e-36,0.3748904973543714,0.3748904973543714,0.3748904973543714,1895,B_tda_only
FLCN,446.0070035356679,0.13708164237524764,80,FLCN,25.11681,19.673155,-0.40662718,-10.252723412529212,1.815247958520546e-19,-0.208326573260999,0.208326573260999,0.208326573260999,5899,B_tda_only
TMEM11,444.9393066630131,0.13675348241430046,81,TMEM11,37.34046,37.710888,-0.10018921,-3.195012063917515,0.0016068621765977,-0.0539360299424436,0.0539360299424436,0.0539360299424436,14685,B_tda_only
HDX,443.01958414231046,0.1361634497153596,82,HDX,2.5698664,1.9474698,-0.33040285,-8.217260179949214,6.538482917891233e-14,-0.1769490463512072,0.1769490463512072,0.1769490463512072,7214,B_tda_only
ZBP1,440.2949458687244,0.13532602365150687,83,ZBP1,1.507579,4.610774,0.6651901,10.023072028684958,9.246705105741376e-20,0.1640699224008802,0.1640699224008802,0.1640699224008802,7833,B_tda_only
VCAM1,438.8572233198056,0.13488413514589292,84,VCAM1,34.7193,37.31798,-0.36847258,-4.577238811169866,8.65089406994452e-06,-0.0869565298334097,0.0869565298334097,0.0869565298334097,12179,B_tda_only
ARF5,438.3324443674811,0.13472284269958978,85,ARF5,255.53207,398.5707,0.5687628,15.297071467771996,7.331833796667651e-35,0.275035668287632,0.275035668287632,0.275035668287632,3863,B_tda_only
DDX11L1,437.9645248637888,0.1346097614936262,86,DDX11L1,0.05407963,0.065638795,0.011942722,1.4971448263304326,0.1361341219720642,0.0295115098463476,0.0295115098463476,0.0295115098463476,17160,B_tda_only
CCT4,432.17751387474664,0.13283110563277026,87,CCT4,225.49042,236.45496,0.008935928,0.2724855460993081,0.7855576469443908,0.0052463799601106,0.0052463799601106,0.0052463799601106,20230,B_tda_only
C11orf16,430.5279450198474,0.13232410550486182,88,C11orf16,0.39190632,0.7598328,0.105419576,2.6589099745952693,0.0084216743334552,0.0447488723659432,0.0447488723659432,0.0447488723659432,15547,B_tda_only
PDLIM7,423.8113574851928,0.13025974139598312,89,PDLIM7,69.14548,71.873245,-0.017231464,-0.2356977595048147,0.8140012515603903,-0.0060122522781603,0.0060122522781603,0.0060122522781603,20150,B_tda_only
PDPN,423.14936973623014,0.13005627739846579,90,PDPN,32.59131,22.134918,-0.75199795,-8.655859106021058,5.4046798665015905e-15,-0.1904939178368661,0.1904939178368661,0.1904939178368661,6609,B_tda_only
