gene,tda_importance,tda_importance_norm,tda_rank,Gene,Mean_Normal,Mean_Tumor,Log2FC,T_Stat,P_Value,PB_Corr,Abs_PB_Corr,abs_pb,euclidean_rank,category
ADCY3,5.25982114105569,0.0016166224182582855,8471,ADCY3,34.05162,22.313892,-0.7494035,-15.257687519163522,6.54564344574752e-35,-0.2711108399431525,0.2711108399431525,0.2711108399431525,3979,D_neither
FAM125A,5.259820122820036,0.0016166221053003841,8472,FAM125A,57.51869,78.50631,0.36550093,8.622514470880434,3.927744338328411e-15,0.1704985712574828,0.1704985712574828,0.1704985712574828,7534,D_neither
RNF216,5.259012484406009,0.0016163738751170853,8473,RNF216,31.798265,28.808657,-0.17921877,-5.48378811801562,1.534029130661297e-07,-0.1153906000584218,0.1153906000584218,0.1153906000584218,10388,D_neither
UBE4B,5.258352632528685,0.0016161710675863718,8474,UBE4B,41.445812,31.328804,-0.4779482,-13.053820454035003,2.065641383046309e-28,-0.2307009783569012,0.2307009783569012,0.2307009783569012,5114,D_neither
MAGEB6,5.257780605551159,0.0016159952533122896,8475,MAGEB6,0.004910644,0.028522898,0.024524016,5.1425042745760186,3.296522075593212e-07,0.0541732469867524,0.0541732469867524,0.0541732469867524,14662,D_neither
ZNF687,5.257093031782135,0.001615783925371776,8476,ZNF687,23.80099,41.500114,0.7219696,14.585162847416566,9.411261933307717e-31,0.3220708678425306,0.3220708678425306,0.3220708678425306,2778,D_neither
OSGIN1,5.256623269266088,0.0016156395423986038,8477,OSGIN1,15.504076,10.153492,-0.8582413,-10.617277625229692,2.6971029767149876e-20,-0.225741059606451,0.225741059606451,0.225741059606451,5276,D_neither
STARD3,5.25563918734975,0.00161533708175504,8478,STARD3,38.175755,81.58535,0.49407482,9.761585430660496,7.842625442715596e-20,0.136173373423395,0.136173373423395,0.136173373423395,9246,D_neither
METTL21CP1,5.255140869170857,0.0016151839221099074,8479,METTL21CP1,0.27029485,0.16556261,-0.12255789,-5.411628123258364,2.807590587451501e-07,-0.1601308754029963,0.1601308754029963,0.1601308754029963,8025,D_neither
ATP13A3,5.254237175038171,0.001614906168902152,8480,ATP13A3,42.219162,47.346634,0.09375191,1.4145586968074009,0.1593249969868601,0.0353293599994679,0.0353293599994679,0.0353293599994679,16530,D_neither
TRPC2,5.253816391108903,0.0016147768396502526,8481,TRPC2,0.5623388,0.39879587,-0.16020852,-4.503238773844579,1.4437570004054782e-05,-0.1332085101579337,0.1332085101579337,0.1332085101579337,9399,D_neither
